,Country,Lat,Long,Confirmed,Deaths,Recovered,Recovery_percent,Death_percent
0,Afghanistan,33.93911,67.709953,41935,1554,34440,0.8212710146655539,3.70573506617384
1,Albania,41.1533,20.1683,22721,543,11696,0.5147660754368205,2.389859601249945
2,Algeria,28.0339,1.6596,60169,2011,41244,0.6854692615798833,3.342252655021689
3,Andorra,42.5063,1.5218,5135,75,3858,0.7513145082765336,1.460564751703992
4,Angola,-11.2027,17.8739,12102,299,5350,0.44207568996860025,2.470666005618906
5,Antigua and Barbuda,17.0608,-61.7964,130,3,118,0.9076923076923077,2.3076923076923075
6,Argentina,-38.4161,-63.6167,1217028,32766,1030137,0.8464365651406541,2.6922963152860904
7,Armenia,40.0691,45.0382,99563,1476,60135,0.6039894338258188,1.482478430742344
8,Australia,-35.4735,149.0124,114,3,111,0.9736842105263158,2.631578947368421
9,Australia,-33.8688,151.2093,4454,53,3153,0.7079030085316569,1.1899416255051638
10,Australia,-12.4634,130.8456,39,0,33,0.8461538461538461,0.0
11,Australia,-27.4698,153.0251,1177,6,1163,0.9881053525913339,0.5097706032285472
12,Australia,-34.9285,138.6007,510,4,489,0.9588235294117647,0.7843137254901961
13,Australia,-42.8821,147.3272,230,13,217,0.9434782608695652,5.652173913043479
14,Australia,-37.8136,144.9631,20345,819,19511,0.9590071270582453,4.02555910543131
15,Australia,-31.9505,115.8605,775,9,750,0.967741935483871,1.1612903225806452
16,Austria,47.5162,14.5501,132515,1268,80604,0.6082632154850395,0.9568728068520544
17,Azerbaijan,40.1431,47.5769,60873,794,46465,0.7633104989075616,1.304354968541061
18,Bahamas,25.025885,-78.035889,6882,150,4779,0.6944202266782912,2.1795989537925022
19,Bahrain,26.0275,50.55,82786,328,80174,0.9684487715314184,0.3962022564201677
20,Bangladesh,23.685,90.3563,416006,6021,333588,0.801882665153868,1.447334894208257
21,Barbados,13.1939,-59.5432,239,7,224,0.9372384937238494,2.928870292887029
22,Belarus,53.7098,27.9534,103295,998,89131,0.8628781644803718,0.9661648676121788
23,Belgium,50.8333,4.469936,479341,12520,27987,0.05838640967494957,2.6119192808459952
24,Belize,17.1899,-88.4976,3977,66,2323,0.5841086245914006,1.6595423686195625
25,Benin,9.3077,2.3158,2745,43,2466,0.898360655737705,1.5664845173041897
26,Bhutan,27.5142,90.4336,358,0,333,0.9301675977653632,0.0
27,Bolivia,-16.2902,-63.5887,142201,8768,113386,0.7973642942032756,6.165920070885577
28,Bosnia and Herzegovina,43.9159,17.6791,57506,1402,29689,0.5162765624456579,2.4380064688902032
29,Botswana,-22.3285,24.6849,7835,27,5534,0.7063178047223995,0.3446075303126994
30,Brazil,-9.0238,-70.812,31218,696,29061,0.9309052469729002,2.2294829905823565
31,Brazil,-9.5713,-36.782,91142,2254,88150,0.9671721050668188,2.473064010006364
32,Brazil,0.902,-52.003,52832,751,44578,0.8437689279224713,1.4214869775893395
33,Brazil,-3.4168,-65.8561,163399,4588,138647,0.8485180447860758,2.8078507212406443
34,Brazil,-12.5797,-41.7007,355753,7711,343114,0.9644725413418861,2.167515101770048
35,Brazil,-5.4984,-39.3206,275671,9370,235992,0.856063931280403,3.398979217980853
36,Brazil,-15.7998,-47.8645,214655,3719,205973,0.959553702452773,1.7325475763434348
37,Brazil,-19.1834,-40.3089,158768,3884,145369,0.915606419429608,2.4463367933084754
38,Brazil,-15.827,-49.8362,258241,5797,248915,0.9638864471559512,2.244802335802603
39,Brazil,-4.9609,-45.2744,186572,4091,179490,0.9620414638852561,2.1927191647192505
40,Brazil,-12.6819,-56.9211,144258,3828,135787,0.9412788198921377,2.653579004283991
41,Brazil,-20.7722,-54.7852,83439,1622,78023,0.9350903054926354,1.9439350903054928
42,Brazil,-18.5122,-44.555,362340,9069,333143,0.9194209858144284,2.502897830766684
43,Brazil,-1.9981,-54.9306,254384,6767,238638,0.9381014529215674,2.6601515818604944
44,Brazil,-7.24,-36.782,133958,3130,108864,0.8126726287343794,2.3365532480329656
45,Brazil,-25.2521,-52.0215,216266,5269,163730,0.7570769330361684,2.4363515300602034
46,Brazil,-8.8137,-36.9541,163642,8667,145123,0.886832231334254,5.296317571283656
47,Brazil,-7.7183,-42.7289,114530,2441,111612,0.9745219593119706,2.1313193049855927
48,Brazil,-5.4026,-36.9541,81876,2588,45546,0.5562802286384289,3.1608774243978703
49,Brazil,-30.0346,-51.2177,253272,5903,236990,0.9357133832401529,2.3306958526801225
50,Brazil,-22.9068,-43.1729,313089,20759,289167,0.923593610762435,6.630383054019784
51,Brazil,-11.5057,-63.5806,72295,1464,65044,0.8997026073725707,2.025036309564977
52,Brazil,-2.7376,-62.0751,57789,693,53872,0.9322189343992802,1.1991901572963712
53,Brazil,-27.2423,-50.2189,266637,3163,248346,0.9314011183744192,1.1862569710880335
